Domain	Phylum	Class	Order	Family	Genus
b507afcc1a760913fb396810935bf005	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA011-D5	SCGC_AAA011-D5_ge
00b9f5970f1f2f57deafbdec61168874	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Belliella
e46bee4b06869f9fb28c435be54f84db	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium
ff0823e79fbf8d54616ef1e303ceb103	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylobacter
96fae60ddee041de7234868baf9ac02a	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
d82eb2695e4a447e5026c9d1bb72dbc4	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_unclassified	Woesearchaeales_unclassified
0f12b5dcbdeed761271778ccb81a2e07	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera
f44a2d0d53b3d1d96b27bed5befb1117	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_fa	Woesearchaeales_ge
91a950733f01ceb16b072ee6428a3901	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter
a04fc0d1b100a689d33f2d845da3dddd	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Nealsonbacteria	Candidatus_Nealsonbacteria_fa	Candidatus_Nealsonbacteria_ge
c591ea942f70527a36d34a8dbf9078f3	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Aquiflexum
f8459146366daa239752845fc036f10d	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Prolixibacteraceae_unclassified
dfc0bad9fa946d9eb5cd54bdb880a5a5	Bacteria	Patescibacteria	ABY1	ABY1_unclassified	ABY1_unclassified	ABY1_unclassified
50ae46d05173ef4c520bd1a7c0df469a	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
f8adaaff712e4c7887c9fb717489c1f2	Bacteria	Firmicutes	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasmataceae_unclassified
a2f64b70913e44b1a8da585c70b86c7a	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
db650c93402597dd17dadd2964381caa	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria_unclassified	Parcubacteria_unclassified	Parcubacteria_unclassified
d01499c072e4d9e8cbee39c4d42e5a97	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfurivibrionaceae	MSBL7
c5b6342fe92b14d54e2d8b3a55f9bfc1	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Rhodohalobacter
110c9999517770e39f12af656b4edf11	Bacteria	Verrucomicrobiota	Verrucomicrobiota_unclassified	Verrucomicrobiota_unclassified	Verrucomicrobiota_unclassified	Verrucomicrobiota_unclassified
67b8bc3288786c119799b6d402eb799b	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria_unclassified	Parcubacteria_unclassified	Parcubacteria_unclassified
ffb86662d7c32029e5138279ee1dbad6	Bacteria	Patescibacteria	Parcubacteria	Paceibacterales	Paceibacteraceae	Candidatus_Paceibacter
fac0418bd3a24e90c6bc6ec8289457df	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Syntrophaceae	Syntrophus
a44f7ea91bae9b7338b85ae7b06a9970	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
c3bc60aa7a9d6e29dca0e431dc8380c7	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanoperedenaceae	Candidatus_Methanoperedens
3e5fb8aafa273e20ac765e997a276ab9	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobium
2842e62c9d09bd6cce560c9144cb6655	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
7fcdf25d728e66342a48e1c6341d5bd8	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfocapsaceae_unclassified
31be1ce6a6d10012de337064b5f7380a	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter
ffc7393ca60274a9cc3193a45d1a728b	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_vadinHA17	Bacteroidetes_vadinHA17_ge
54cf6b6998839a2dd7e7550b1e697d37	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus
b132dafbebf64b4fca8b60dc2550accc	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae	Marinomonas
9ae0b2f71f73e2df1c32f04706fcd9b2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Antarcticibacterium
2c828d0a1331cb2ac760a44f20279ed0	Bacteria	Actinobacteriota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	Nitriliruptoraceae_unclassified
185db6935320d91014cb78a01237b252	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales_fa	Babeliales_ge
62c7cb4ce94892318a412fe9502d1aee	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA011-D5	SCGC_AAA011-D5_ge
54f763e83d1c26c0b9a8fd00d8e9ba6e	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Algoriphagus
a1320413f97f4dcb8d8a0b67bac52307	Bacteria	Planctomycetota	Phycisphaerae	MSBL9	SG8-4	SG8-4_ge
9b2d20fb4e707b1eb253360864d522a8	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	uncultured
92fb114641e27921122496428e2ef0dd	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium
dd98040edf8c917f0172c8bfd2fbf3dc	Bacteria	Sva0485	Sva0485_cl	Sva0485_or	Sva0485_fa	Sva0485_ge
33bb60eab4221cdc157085b9f2323550	Bacteria	Patescibacteria	CPR2	CPR2_or	CPR2_fa	CPR2_ge
00c8e83f5a957cf7c791807231fc6853	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_unclassified	Woesearchaeales_unclassified
d3dab770aeaea6a60b881c5564bb357f	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
babe9a5fa63b0f97a64d753c3a977a64	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus
d059171c594192543f0c2ffeb879feff	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas
af7827a247a7b18c528328cc3930248a	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter
be688b2238da5d67cb07edebe41b69ce	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Idiomarinaceae	Aliidiomarina
2b6efe17ffc046319de695dfce95949f	Bacteria	Patescibacteria	WWE3	WWE3_or	WWE3_fa	WWE3_ge
4730e90c269bf951351ee795c0713c6d	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadales_unclassified	Pseudomonadales_unclassified
c192c0e8350efd76b86b7c90a448c726	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas
9df52cc613a42d3230a121cad44f91bb	Bacteria	Gemmatimonadota	S0134_terrestrial_group	S0134_terrestrial_group_or	S0134_terrestrial_group_fa	S0134_terrestrial_group_ge
